video_id,in_deg,out_deg
OHLSv-tdR7w,2,2
mBNoUhHtmVc,1,1
5UGC2nLnaes,1,1
hLVj6R0jQQM,1,2
DwCOOnIk14g,1,1
wvE1GCXcOTs,1,3
mYY6ozn3CcU,1,1
JASUsVY5YJ8,1,2
6OkHQ0CTj7g,1,1
LoRIztYmWjY,1,1
fmzxSQdOQ0E,2,1
phrlVrsIDRI,1,1
JXmI2ieJ0Yc,1,1
z2MW2T28mQw,1,1
DpVVEtRmGuw,1,1
jmBqNABTuPE,1,2
mxDSulcLpAE,4,1
sCuKuUgNfjA,1,2
-3g9YboZZAU,1,1
clxn9rNYzNo,1,1
tyYjFDAwor4,3,2
NJ8V09YqFMM,1,1
JsXvJuZHiQk,1,1
xxM4t8vP-0A,1,1
BfSl3WwqYls,1,1
3RjXSfr8Nmc,1,1
xi3cmDss_c8,1,2
pkefDjdNgUU,2,1
fHon3MZVmHQ,1,1
GscQhQGn8bs,1,1
StOJ-Yj8DbA,2,1
lJsX6_7wPtg,1,1
JyQRXuVi6CA,3,3
SiijS_9hPkM,5,1
YO-hnbbK_lc,1,1
jXceS6pfupc,1,1
qGIPoodveZM,20,2
seJSm-vD9OA,1,2
UhmfBycwfqA,1,1
AlBvtPX1sEY,1,1
ohaFCAhuLVA,1,1
OMXXqdu_FB8,1,1
8MpYfrF-K_U,1,1
2WqU2tcfwIY,1,1
-d3DKy-ahdg,1,1
hwPwbEYCbc4,3,1
srGFqE9UQ3A,1,1
4UwCC8NIly4,1,1
d8jfv4K1AIo,1,1
hIqOgqpNLXw,1,1
dBRvZX8WKRc,1,2
WJhoqIJ7VZM,1,1
0lEp3-sRIIE,1,1
eBtxjyD01lo,1,1
T42JvxghkRI,1,1
8j6cueDgjIU,1,1
ghCOVjAILxo,2,2
c0biVj50ZZc,1,2
gJo9PfsplsY,1,2
x6yr8W3mc38,1,2
uzvsK1AHn1I,2,1
YbJIeOxWct0,1,2
9ztCQg9MH3I,1,1
kasiov0ytEc,1,1
cRKZ7dIGEo4,1,1
C4Uc-cztsJo,6,1
uwP7UT4ewJA,1,1
w_PWL0oZzOc,5,2
EM4odIQZVgw,1,1
U5eGDgfmLJE,1,1
5ZmHRElAArc,2,1
8Ug1MnU6LKw,1,1
aZIo5BeCB2M,1,1
IMxciOsAoPY,1,2
zDAYZU4A3w0,1,1
CnhF90IDLOQ,1,2
CYTh7Zu6xFE,2,3
LdcDLErhuH0,1,2
GEogsEfFXrg,1,1
RjsThobgq7Q,4,1
P2BVyHOdFUo,1,1
_n--IWNKSDM,1,2
nAycPLFryMI,1,1
AuwayMjvuT0,1,1
OefYOR78CeY,2,1
ZunvBXCdREI,1,1
MZmQn1WAI0M,1,1
LOqizpxFCM8,1,1
C1mmTwjHhHs,1,1
-nNiULl5_2k,1,1
UGPxfizP1aI,1,1
HyHDYsV7vow,2,1
xvLPJBUXhM4,10,1
vz-rdaE2uUw,2,1
TAavyXfXOko,2,1
shJdb7oyxlU,1,1
SRvZozXBXsk,1,2
eRi4Dji-cbI,1,2
baCyqF5snFs,1,1
Z7iSbrkeAhE,1,1
miuhxhodpiQ,1,1
13B5K_lAabw,1,1
JszHrMZ7dx4,1,1
nFT2XNZobUw,1,1
cABM-7YhAWA,1,1
vgFcGA7URZI,1,1
NxQ-lqflapg,1,2
JqmIo-tUd48,1,1
xp-8HysWkxw,1,1
lB9cuOuZL1Y,1,2
TSt8A4Iarts,1,2
TUL8WBuqLeE,1,1
JVsderNpXs4,1,1
sosjgnWrnxc,1,2
Wl4Kf85E0gs,1,1
lKqGZYF1bd4,1,1
IoE7mUCln_o,1,1
sSKXcbnIjmk,1,1
vKRG6amACEE,1,1
hCOXjsCc8uo,1,1
pZKZDHIRSHg,1,1
ze3HXLRXO10,1,2
MjOpZrYLE1U,1,1
VzWTyufdkug,1,1
9Rt4JFb7MAk,1,1
edOuQIalVBU,1,1
esPRsT-lmw8,3,1
rigImVsnjkw,1,1
oJFE3EWhOuE,1,1
GvYmnK4_ehs,1,2
L9bx_fqTwRA,1,1
Qm99rzkv8Jg,1,2
Et-JvYrQ84o,1,1
Ck_r2GYLdCI,1,1
2Eo2QRu68As,2,1
78tE4hCg6gM,1,1
bGcvv3683Os,1,1
FpZxf07wGHM,1,1
IXx7ozc9ZwM,1,1
vxHwIese67Y,2,1
6sNUVXhqsvU,1,1
HEhiyBTWuLg,1,1
6-qam34mLpU,1,2
5EdJ7X1LkEM,1,1
8nNRxAwhJuU,1,1
I1m7ATXJXgI,2,1
b_TkFhj9mgk,1,1
zbziahTLPAY,1,1
v1k8U5OzNWA,1,1
uv3ryYKBKWY,1,1
ED8IAoaDV7U,1,1
dToV7DMpCTw,1,1
PqEmYU8Y_rI,1,1
pLZ6NFliJ_o,1,3
lH2BPD2TeEI,1,1
tOVicpNaNYg,1,1
3vg3wQ6jOGs,2,1
dyXk40l37yQ,1,2
LcYW2zHLHGk,1,1
XnziYh2rCqM,1,2
L5HDNbMKaLU,1,2
yGCLAr2Cv4A,1,1
kMGRMtQN_jY,1,1
OMiXZqEnSd0,1,1
kAmmRw6XB98,1,1
QKs-kTaKv2o,1,1
FT_nZ96D89c,1,1
y47SBkxHQTs,2,1
t9ael3sJe5k,1,3
JDHllZ7qXYw,1,3
MxnqywD9kuQ,2,1
R3coL1pJY0s,1,1
xHPQ9aewgxo,2,1
Os2EchncCyU,2,2
jri40TxMNXE,1,1
J94uO-urSTg,2,1
_T79_50kvt4,1,1
gsWJiFMmOYM,3,1
rxJmSK0nJw0,1,1
QFDGGht3CQU,2,2
sauEsj8YW9M,2,1
vc_-ReUdu9c,1,1
-GFt-X9J04U,1,3
nlEVXFsBGwE,1,1
RdH2kulryN0,1,1
qd_kEyuReD4,1,3
m5wv4HcRNKw,1,1
5rYPRMm8Arw,2,1
VAIs8VLFbls,7,1
MLSu0Myxvr0,4,1
r8XvlgwLezY,1,1
Iq4qASI1Fok,2,1
YKt318dJiss,1,1
az6NibAUf7Y,3,1
F1q5uIzjj_M,1,1
OEGw0ZXy2Hk,4,1
mf1ymnItl6k,1,1
j1p2PbfNk0c,2,1
THkiIaeTLPE,1,1
dN5qHjnd_xk,2,1
GrL7OA0Kb4A,1,1
pOiH0qIQob4,18,3
g1qzdmgWQf8,1,1
5LdChUbCUcQ,1,1
bM1CDKlB-G8,1,1
rVf_9dihz3k,6,3
JGguSThftRQ,1,3
FesdymH4II0,2,3
pLAi_cmly6Q,6,3
yiER4rUrGN8,2,3
AJgdxokVbTg,8,3
ZYVmWRYWD9I,1,3
-h_h0Tp6vZk,1,3
-avpx8UTakI,4,3
28d5-w6gyfo,2,3
f_vpvTHArUE,1,3
-htnUTN4mH0,3,1
uduUXJ5pAEM,1,3
Ad-YqwhUsTE,4,1
m8UQ4O7UiDs,1,2
cBas_4BUczw,2,3
RvippVufK5M,1,3
awQDLoOnkdI,4,1
LJRTzsW3GT4,3,3
jI7or26HHLw,3,2
N_YPyWCMFOg,2,2
UVGy1XD_dzQ,3,1
N-iCaO-hxAk,1,1
kGPWu8RNhSY,5,1
4AnFmfH4aNY,1,1
qqZ_SH9N3Xo,2,1
_r9_re7H2Qc,1,1
82xuyhYNkLA,1,1
0FVugGRILOU,2,1
j7Ix1GBcrIQ,1,1
SCaKuAdKumA,1,2
BKOPFm_7zCg,1,2
KOPY3nzOJp8,5,2
bgobWEK_Ny4,1,2
o26Eks801oc,1,1
tVrmwFtoFjM,1,1
oKY600o3CXw,1,2
kn-6yvCjVDQ,5,2
SYgO06HmNLU,1,1
vKAPPTw9uS8,3,1
zfNP_z8unGU,2,1
XDIUCzew-I0,1,2
ld1EFF5fzvQ,1,2
czogWQ34X1Y,1,1
EFxNtTks9VU,2,2
cqAe41QTUec,1,1
ZmOKKY9shiQ,2,1
0lTczPEG8iI,1,3
4U2eDJnwz_s,5,1
XTVJ-mcTs8s,1,3
qDqN_NgKOEE,3,1
wqTXF6JxYhQ,1,1
UUQd7CTIlNo,1,1
