parent_channel,child_channel,out_deg
AF Warthog,"['Worldaviation 4K', 'SenatorJohnMcCain']",13
AG Production,"['AG Production', 'Cipotok ASP', 'Cipotok ASP']",13
AIRBOYD,"['Amazing Machines', 'ZenosWarbirds', 'jstsciencechannel', 'AIRBOYD', 'AirshowStuffVideos', 'FeetIncluded']",13
AIRFOX ENTERTAINMENT,"['meriawaz news', 'MEDIA TODAY TV']",13
AJ Exclusive Videos,"['Top Fives', 'around the world منوعات عالمية']",13
AKTK,"['NMF News', 'AKTK', 'AKTK', 'AKTK', 'AKTK', 'Shemaroo Spiritual Life']",13
AL.com,"['Johnny Carson', 'Ultimate Night Vision', 'CBS Sunday Morning', 'BBC News']",13
AMAZING ROAD,"['BREAKING NEWS REPORT', 'Amicus Humani Generis']",13
AMMO NYC,"['DoRite Fabrication', 'AMMO NYC']",13
AMV,"['sharpwg', 'AnotherTv']",13
ANIMALS TV,"['Metal Detecting WWII Battlegrounds', 'American Heroes Channel']",13
ANU TV,"['shazmosushi', 'tvochannel', 'MarinesMemorialClub', 'The Heritage Foundation']",13
AP Archive,"['Savage Nation', 'Media Buzz', 'NFB', 'MAD LAB', 'Senator Elizabeth Warren', 'The Obama White House']",13
ARY News,"['Public News', 'SAMAA TV', 'ARY News', 'ARY News', 'ARY News', 'Dunya News']",13
AT HOME ACTiViSM,"['Tulsi Gabbard', 'TBTV']",13
ATSGemwolf,"['ATSGemwolf', 'Outlander Fans Channel', 'ATSGemwolf', 'ATSGemwolf']",13
ATİLLA YEŞİLADA,"['Ulusal Kanal', 'Her Detay']",13
AVELID,"['VADIVID', 'UWOODWORKINGPROJECTS', 'UWOODWORKINGPROJECTS', 'AVELID']",13
AWESMR kids,"[""Genevieve's Playhouse - Toy Learning for Kids"", 'Just4fun290']",13
AXS TV Fights,"['AXS TV Fights', 'AXS TV Fights']",13
Aadhan Tamil,"['Aadhan Tamil', 'Behindwoods Air']",13
Aaj Tak,"['FWF India News', 'FWF India News', 'Aaj Tak', 'Aaj Tak', 'Aaj Tak', 'Aaj Tak', 'KumarVishwas', 'Aaj Tak']",13
Aaron,"['Doug Batchelor', 'Rivers In the Desert']",13
Aaron Roark,"['OurHalfAcreHomestead', 'Mystery of stuff']",13
Abandoned Exploration Squad,"['USMiner', 'joystick', 'WOWsoAmaze', 'Abandoned Exploration Squad']",13
Abandoned: Exploring with Dali,"['MAD LAB', 'Graham Phillips']",13
Abeey Dawn,"['Free High-Quality Documentaries', 'Sherita Timmer']",13
Abhirami Creations,"['SHASS LIVE MEDIA', 'biju mohan']",13
Abom79,"['Arosmarine', 'Abom79', 'Abom79', 'Abom79', 'Abom79', 'Abom79', 'Abom79', 'Keith Fenner']",13
