parent_channel,child_channel,out_deg
UC0uxBKNrzud1BMkazE-zamQ,"['UCmmAvCeGw9XIMx1lgGH5Tjg', 'UC0uxBKNrzud1BMkazE-zamQ', 'UC0uxBKNrzud1BMkazE-zamQ']",13
UC0v0qDKlz_HC2tP-YwY2k7w,['UCIMXKin1fXXCeq2UJePJEog'],13
UC10Tc1mzoPTibXDyVXFf9fw,"['UC2hMKdWmTBVJ_PnD4Utubbw', 'UCYKZObv8VH_Z2xXpftQXw3w', 'UC10Tc1mzoPTibXDyVXFf9fw', 'UC10Tc1mzoPTibXDyVXFf9fw', 'UC10Tc1mzoPTibXDyVXFf9fw', 'UCnK36WwcJDTEhyS7w3SQntg', 'UC10Tc1mzoPTibXDyVXFf9fw', 'UC10Tc1mzoPTibXDyVXFf9fw']",13
UC11gnSYjIfFNTM2GHyE8RKA,['UCdom4haeZZued1-wocdpgyA'],13
UC13QpmJUVRUSlPc7-NoLpXg,['UCbRQkh21m_EaBHR_wpV_36g'],13
UC13mSI38YWz5zfvxXDPpePA,"['UCuXjEUddjos2raeX4FTj6Wg', 'UC6HHWRGuLD11spg9DxKAZlQ']",13
UC13nuembOCuRW7rbDCt1v8A,['UCjPcMsO6DjX9jrL0NvOZTgQ'],13
UC140PSrairHki1J_Prt2aCQ,"['UCFkFUrV28yy4kpg9b6LNhuQ', 'UCbQ4G3AW70Txf2xmNPTKjQQ']",13
UC16niRr50-MSBwiO3YDb3RA,"['UC9oB3DxbWduWa3tZp45s7_g', 'UCY_Bq1AF0xvPUjaAqV7kweA', 'UCNye-wNBqNL5ZzHSJj3l8Bg', 'UCW39zufHfsuGgpLviKh297Q', 'UCZaT_X_mc0BI-djXOlfhqWQ', 'UCY_Bq1AF0xvPUjaAqV7kweA', 'UCcgKRB26m6M3okTSP7C_UwA', 'UCbAlVnKhbGLK78GsSemQXxw', 'UCyAAKSMgyJ_bfl4nzsUwibw', 'UCoMdktPbSTixAyNGwb-UYkQ', 'UCQfwfsi5VrQ8yKZ-UWmAEFg', 'UCNye-wNBqNL5ZzHSJj3l8Bg', 'UC16niRr50-MSBwiO3YDb3RA', 'UCBi2mrWuNuyYy4gbM6fU18Q']",13
UC18tggMCMW7e6oN7F00_-tg,"['UCzUBbjAJ1dPM_uy0gfH1plg', 'UCU4BHh9Dwfd7-I_xTZ5037Q']",13
UC18vz5hUUqxbGvym9ghtX_w,"['UC3XTzVzaHQEd30rQbuvCtTQ', 'UCaXkIU1QidjPwiAYu6GcHjg', 'UCEbF8h3T2XvEmw_uNWd0hUQ', 'UC3XTzVzaHQEd30rQbuvCtTQ', 'UC18vz5hUUqxbGvym9ghtX_w', 'UC18vz5hUUqxbGvym9ghtX_w', 'UC18vz5hUUqxbGvym9ghtX_w']",13
UC1AZY74-dGVPe6bfxFwwEMg,['UCJg9wBPyKMNA5sRDnvzmkdg'],13
UC1CSpkvL6MPdPaSsROSBksA,['UC8ud6INRs3z5LVvXvxB3KfQ'],13
UC1CnvtMKdEXJ_nPuXFXA-Zw,['UC-qo_Gf0CUtORzHfDzHKgYw'],13
UC1Cp5caGwHvJZxHoevGoDdA,"['UCy_MhuOv_rQtg9ANJ126xlQ', 'UC1Cp5caGwHvJZxHoevGoDdA', 'UCYAYZEdv_rqwTBGYstFSTKA', 'UCVk90Gy_bAnKfyeyEbH3-nw', 'UCkQO3QsgTpNTsOw6ujimT5Q', 'UCkQO3QsgTpNTsOw6ujimT5Q', 'UCQwT19wQm23dVTOHiap-u7w']",13
UC1DGpYiEiqBrQtYXFbLhMVQ,"['UC4bN4nHRRnmckk5WzHDEO5Q', 'UCQ6-ImQMa02aK3IiC56Kdsg', 'UCQ6-ImQMa02aK3IiC56Kdsg', 'UC1DGpYiEiqBrQtYXFbLhMVQ', 'UC1DGpYiEiqBrQtYXFbLhMVQ', 'UC8KbWhBEWVlEdkHmETx8MlA', 'UCYAYZEdv_rqwTBGYstFSTKA', 'UCRtQDkL_op8jPzM2K9aT0Vw']",13
UC1DZpQ2DDExws9Zvl7UcSkg,"['UCW0dnvm9NRJYbmKxhtnpWqQ', 'UCOWwzeisysKRq-jjYM0EemQ', 'UCIPwWJ9f8iuWhI_CcrvLXjw']",13
UC1DknEnT8P0Pvls8LpE3aVA,['UC1DknEnT8P0Pvls8LpE3aVA'],13
UC1FHfnjVgVCUd1MsIUvj6yw,['UCyTq1BWwXaXwBUSpmLQWisg'],13
UC1Fp52XJH8UKaa_gHMZrckw,"['UCAuUUnT6oDeKwE6v1NGQxug', 'UCblfuW_4rakIf2h6aqANefA', 'UC2ccm1GajfSujz7T18d7cKA', 'UCX7MXflg3DxDJTZi5mJRiOw']",13
UC1GAhk8NbgpaTUUSw_QlkZw,"['UC1GAhk8NbgpaTUUSw_QlkZw', 'UCj-Mjn68ap6Hgj6sxp2rpRA']",13
UC1GXL5VYIankj3MGgknwGfA,"['UC4BsBKqIAa-rsYRyV67KAKA', 'UCHZ_SKrb-xmso0xyB8kt9rQ']",13
UC1Ga-Hv1-dLz9zoAz81d9tA,['UCiqhkHgubmuLaKOHse40Cag'],13
UC1J7R01BprnGYWL7bgSn4xA,['UCM56dsm0Lk7SoSDpRqd-p3A'],13
UC1LLY0-2o9oE-dcPmQbDcDg,"['UCXWRsnlbpYxdwRvNlLG5CRw', 'UCh99r9ei036ZPtEVFCOfDyQ']",13
UC1M1MjhSviZAKNqVSy4uyJQ,"['UC1M1MjhSviZAKNqVSy4uyJQ', 'UC1M1MjhSviZAKNqVSy4uyJQ', 'UC1M1MjhSviZAKNqVSy4uyJQ', 'UC1M1MjhSviZAKNqVSy4uyJQ', 'UC1M1MjhSviZAKNqVSy4uyJQ', 'UC1M1MjhSviZAKNqVSy4uyJQ', 'UC1M1MjhSviZAKNqVSy4uyJQ', 'UCZT0rPKq7tmuDWS8TSZOYVA', 'UC1M1MjhSviZAKNqVSy4uyJQ', 'UC1M1MjhSviZAKNqVSy4uyJQ', 'UC1M1MjhSviZAKNqVSy4uyJQ', 'UC1M1MjhSviZAKNqVSy4uyJQ']",13
UC1MHbPo9A_TcNH0fZ7ezARw,['UC1MHbPo9A_TcNH0fZ7ezARw'],13
