parent_channel,child_channel,out_deg
Achtung Kontrolle,"['Achtung Kontrolle', 'Achtung Kontrolle', 'Hardcore Dortmund', 'Abenteuer Leben', 'Abenteuer Leben', 'ZDF', 'BILD', 'Achtung Kontrolle', 'Achtung Kontrolle', 'Felix von der Laden']",13
Adam B,"['TLC', 'Adam B']",13
Adam Savage’s Tested,"['Nexi Tech', 'Thomas Sanladerer', 'Thomas Sanladerer', 'Kayakasaurus']",13
Adam Wilber,"[""Dragons' Den"", 'Ahdy']",13
Addicted2SuccessTV,"['Evan Carmichael', 'VikatanTV']",13
Adeyinka Makinde,"['eNCA', 'Ghana Abakosem tv', 'Adeyinka Makinde', 'British Movietone', 'DaGoldenFish TV', 'BioGreat Tv']",13
Admiral Schafkopf,"['Admiral Schafkopf', 'Admiral Schafkopf']",13
Ador and Aira,"['Shey Panopio', 'GMA Network']",13
Adventist HealthCare,"['Liberty University', 'SiouxCity Journal']",13
Advoko MAKES,"['Cooking Different', 'Taras Kul']",13
Aegon Targaryen,"['خليجية', 'Think Club', 'Aegon Targaryen', 'Aegon Targaryen', 'Aegon Targaryen', 'Aegon Targaryen', 'Amazon Books', 'Amazon Books', 'Amazon Books', 'Lurre 10']",13
Affection,"['Team Coco', 'MzCaramel90']",13
Africa Wild Animals,"['4 Ever Green', 'Urdu Amazing World']",13
Ahdy,"['Wheeze', 'Raffaele Scircoli']",13
Ahmed Gordon,"['The Tonight Show Starring Jimmy Fallon', 'Triumph Awards']",13
Aim Haze,"['比嘉盛也', 'nysom66']",13
Air-Clips.com,"['World Top ONE', 'e a', 'hrfernsehen', 'CaptScafe', 'Chris Flaten', 'Air-Clips.com', 'Cockpitfilme', 'Die Autodoktoren - offizieller Kanal', 'Air-Clips.com', 'Mittool']",13
AirshowStuffVideos,"['Flying Doodles', ""Pilot's Post""]",13
Ajam khan,"['Candid Camera Classics', 'The Classics']",13
Akash Vukoti,"['Steve TV Show', 'hoang thien an', 'Sri Lanka Cricket', 'Social News XYZ']",13
Akira Jackson,"['Jixcx', 'Rush yogore']",13
Akte,"['Der Demokrator', 'GRIP - Das Motormagazin']",13
Al Jazeera Balkans,"['Српска напредна странка', 'Српска напредна странка']",13
Al Jazeera English,"['Jeff Tjernagel', 'Monthly Winners', 'BBC News', 'FRONTLINE PBS | Official', 'DW Documentary', 'Documeaning', 'Al Jazeera English', 'CBC News', 'The Guardian', 'The New York Times', 'CBS', 'BBC News', 'BBC News', 'Al Jazeera English', 'Al Jazeera English', 'Al Jazeera English', 'iqsquared', 'vpro documentary', 'The Quint', 'Najam Sethi Official', 'FAP TV', 'Al Jazeera English', 'Al Jazeera English', 'The Independent', 'The Independent', 'Al Jazeera English', 'Insight SBS', 'Al Jazeera English', 'Beatles & Solo TV stuff !', 'Music Documentaries']",13
Al Profit,"[""N'Focus Media TV"", 'Al Profit']",13
AlSidre,"['Videosculptor', 'HaltomAPUSH']",13
Alain Blais,"['ABS-CBN Entertainment', 'Les Pro']",13
Alain Le Francois,"['WILTY? Nope!', 'Bryce Nickerson', 'Alain Le Francois', 'Alain Le Francois', 'Alain Le Francois', 'Marc Swayne', 'France Mikalas', '12Medbe Network']",13
Alamo Area Council of Governments,"['Fixotronic', 'Mac & Bravo']",13
Alan Carr: Chatty Man,"['Alan Carr: Chatty Man', 'ITV News']",13
Alan Howell,"['GREENPOWERSCIENCE', 'TinHatRanch']",13
Alanna Zingano,"['Dale Philip', ""Don's Family Vacations""]",13
Albert Hwang,"['Mathologer', 'The Lazy Engineer']",13
Albertblo,"['Bryan Lee', 'artcm555']",13
Alchay Archy,"['Ovadia Eliyahu', 'MPTF', 'Divafevadotcom', 'Archy Moz']",13
Ale's World of Stocks,"['CNBC Television', 'The Life Ignitor']",13
Alehio Contraband,"['FilmRise Television', 'KIFI Local News 8']",13
Aleksandar Matic,"['Damir Jelenkovic', 'HHMHaileSelassie']",13
Alex Cooper,"['Johnny Miller', 'streethawk101']",13
Alex Dorogomiloff,"['TheRenuens', 'zzzng']",13
Alex Hall,"['arul s', ""Don't Josh Me""]",13
Alex Strohl,"['The Sun', 'World Top ONE', 'Alex Strohl', 'Alex Strohl', 'Golftastic', 'susi Kid']",13
Alex Top,"['Parker821', 'Vanessa Zimmerman']",13
AlfieAesthetics,"['The Gray Bearded Green Beret', 'Escape Adventures']",13
