name,leaning,url
dc-gazette,R,http://thedcgazette.com/
dc-statesman,R,http://www.dcstatesman.com/
dc-tribune,L,http://dctribune.org
dc-whispers,R,http://dcwhispers.com/
dcreport-org,L,https://www.dcreport.org/
de-volkskrant,R,https://www.volkskrant.nl/
dead-state,L,http://deadstate.org/
deadline-hollywood,L,http://deadline.com/
deadspin,L,https://deadspin.com/
deathandtaxes,L,NA
debate-post,R,http://debatepost.com/
debkafile,R,https://www.debka.com
deccan-chronicle,R,https://www.deccanchronicle.com/
deccan-herald,L,http://www.deccanherald.com/
deep-left-field,L,http://deepleftfield.info/
deepstatenation-com,L,http://deepstatenation.com
defcon-warning-system,C,https://www.defconwarningsystem.com
defend-europa,R,https://www.defendevropa.org
defense-news,C,https://www.defensenews.com
defense-one,C,http://www.defenseone.com/
defiant-america,R,http://defiantamerica.com/
defund-com,R,http://defund.com/
delaware-county-daily-times,L,NA
delaware-online-news-journal,L,http://www.delawareonline.com/
democracy-21,L,http://www.democracy21.org/
democracy-chronicles,L,https://democracychronicles.org
democracy-guardian,L,https://democracyguardian.com
democracy-now,L,http://www.democracynow.org/
democrat-and-chronicle,L,http://www.democratandchronicle.com/
democratic-moms,L,http://democraticmoms.com/
democratic-review,L,http://democraticreview.com/
democratic-underground,L,http://www.democraticunderground.com/
demos,L,http://www.demos.org
denton-record-chronicle,C,https://www.dentonrc.com
denver-guardian,L,http://denverguardian.com/
denver-post,L,http://www.denverpost.com/
denver-westword,L,NA
departed-maganews-com,L,http://trumpers.online/
deplorable-movement-2020,L,http://deplorablemovement2020.news/
deplorables-report,R,https://deplorablesreport.com
deseret-news,R,http://www.deseretnews.com/
desert-sun,R,http://www.desertsun.com/
desmog,L,https://www.desmogblog.com/
detroit-free-press,L,http://www.freep.com/
detroit-metro-times,L,https://www.metrotimes.com
detroit-news,R,https://www.detroitnews.com/
die-hard-democrat,L,http://dieharddemocrat.com/
die-zeit,L,http://www.zeit.de/english/index
differencebetween-net,C,http://www.differencebetween.net
digg,L,http://digg.com/
digital-journal,C,http://www.digitaljournal.com
diplomatic-courier,C,NA
